asset_id,parent_asset_id,level,unit_id,system,canonical_name,criticality_score,system_asset_id,system_name,subsystem_asset_id,subsystem_name,asset_path,revenue_impact_usd,maintenance_cost_usd,event_count,work_order_count,maintenance_criticality_index,revenue_per_event_usd,cost_per_work_order_usd,top_root_cause_category,criticality_quadrant
STS-U1-TUR-IP,STS-U1-TURBINE,Subsystem,STS-U1,Turbine,IP Section,0.84,STS-U1-TURBINE,Turbine System,STS-U1-TUR-IP,IP Section,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > IP Section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-TUR-LP,STS-U1-TURBINE,Subsystem,STS-U1,Turbine,LP Section,0.82,STS-U1-TURBINE,Turbine System,STS-U1-TUR-LP,LP Section,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > LP Section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-TUR-BRG,STS-U1-TURBINE,Subsystem,STS-U1,Turbine,Bearings,0.9,STS-U1-TURBINE,Turbine System,STS-U1-TUR-BRG,Bearings,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > Bearings,406184.50800000003,175496.15,2.0,21.0,54.95,203092.25,8356.96,Turbine-side,Low impact / High spend
STS-U1-TUR-CV,STS-U1-TURBINE,Subsystem,STS-U1,Turbine,Control Valves,0.87,STS-U1-TURBINE,Turbine System,STS-U1-TUR-CV,Control Valves,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > Control Valves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-GEN-ROTOR,STS-U1-GENERATOR,Subsystem,STS-U1,Generator,Rotor,0.85,STS-U1-GENERATOR,Generator System,STS-U1-GEN-ROTOR,Rotor,Shakti Thermal Station > Unit 1 (660 MW) > Generator System > Rotor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-GEN-STATOR,STS-U1-GENERATOR,Subsystem,STS-U1,Generator,Stator,0.83,STS-U1-GENERATOR,Generator System,STS-U1-GEN-STATOR,Stator,Shakti Thermal Station > Unit 1 (660 MW) > Generator System > Stator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-GEN-H2,STS-U1-GENERATOR,Subsystem,STS-U1,Generator,Hydrogen System,0.8,STS-U1-GENERATOR,Generator System,STS-U1-GEN-H2,Hydrogen System,Shakti Thermal Station > Unit 1 (660 MW) > Generator System > Hydrogen System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-COL-CT,STS-U1-COOLING,Subsystem,STS-U1,Cooling,Cooling Tower,0.86,STS-U1-COOLING,Cooling System,STS-U1-COL-CT,Cooling Tower,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System > Cooling Tower,2529759.909,76827.14,2.0,7.0,58.18,1264879.95,10975.31,Cooling constraints,High impact / Low spend
STS-U1-COL-CND,STS-U1-COOLING,Subsystem,STS-U1,Cooling,Condenser,0.9,STS-U1-COOLING,Cooling System,STS-U1-COL-CND,Condenser,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System > Condenser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-COL-CWP,STS-U1-COOLING,Subsystem,STS-U1,Cooling,CW Pumps,0.88,STS-U1-COOLING,Cooling System,STS-U1-COL-CWP,CW Pumps,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System > CW Pumps,337300.15400000004,162903.47999999998,1.0,17.0,53.07,337300.15,9582.56,Cooling constraints,Low impact / Low spend
STS-U1-ELC-XFMR,STS-U1-ELECTRICAL,Subsystem,STS-U1,Electrical,Transformer,0.84,STS-U1-ELECTRICAL,Electrical System,STS-U1-ELC-XFMR,Transformer,Shakti Thermal Station > Unit 1 (660 MW) > Electrical System > Transformer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-ELC-SWYD,STS-U1-ELECTRICAL,Subsystem,STS-U1,Electrical,Switchyard,0.78,STS-U1-ELECTRICAL,Electrical System,STS-U1-ELC-SWYD,Switchyard,Shakti Thermal Station > Unit 1 (660 MW) > Electrical System > Switchyard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CTL-DCS,STS-U1-CONTROLS,Subsystem,STS-U1,Controls,Unit DCS,0.8,STS-U1-CONTROLS,Controls System,STS-U1-CTL-DCS,Unit DCS,Shakti Thermal Station > Unit 1 (660 MW) > Controls System > Unit DCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CTL-INST,STS-U1-CONTROLS,Subsystem,STS-U1,Controls,Instrumentation,0.78,STS-U1-CONTROLS,Controls System,STS-U1-CTL-INST,Instrumentation,Shakti Thermal Station > Unit 1 (660 MW) > Controls System > Instrumentation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-IDF-A,STS-U1-BOI-IDFANS,Component,STS-U1,Boiler,ID Fan A,0.9,STS-U1-BOILER,Boiler System,STS-U1-BOI-IDFANS,ID Fans,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > ID Fans > ID Fan A,462902.0476075145,1313116.59,26.0,127.0,77.18,17803.92,10339.5,Boiler-side,Low impact / High spend
STS-U1-IDF-B,STS-U1-BOI-IDFANS,Component,STS-U1,Boiler,ID Fan B,0.86,STS-U1-BOILER,Boiler System,STS-U1-BOI-IDFANS,ID Fans,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > ID Fans > ID Fan B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-DAMPER-FG,STS-U1-BOI-DAMPERS,Component,STS-U1,Boiler,Flue Gas Damper,0.87,STS-U1-BOILER,Boiler System,STS-U1-BOI-DAMPERS,Dampers,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Dampers > Flue Gas Damper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-APH-1,STS-U1-BOI-APH,Component,STS-U1,Boiler,Air Preheater Rotor,0.8,STS-U1-BOILER,Boiler System,STS-U1-BOI-APH,Air Preheater,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Air Preheater > Air Preheater Rotor,0.0,158720.64,0.0,18.0,15.1,0.0,8817.81,,Low impact / Low spend
STS-U1-SH-OUT,STS-U1-BOI-SH,Component,STS-U1,Boiler,Superheater Outlet,0.82,STS-U1-BOILER,Boiler System,STS-U1-BOI-SH,Superheater,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Superheater > Superheater Outlet,5241554.3100000005,74507.54999999999,2.0,5.0,59.2,2620777.16,14901.51,Boiler-side,High impact / Low spend
STS-U1-ECO-IN,STS-U1-BOI-ECO,Component,STS-U1,Boiler,Economizer Inlet,0.76,STS-U1-BOILER,Boiler System,STS-U1-BOI-ECO,Economizer,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Economizer > Economizer Inlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-MILL-1,STS-U1-BOI-MILLS,Component,STS-U1,Boiler,Coal Mill 1,0.82,STS-U1-BOILER,Boiler System,STS-U1-BOI-MILLS,Mills,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills > Coal Mill 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-MILL-2,STS-U1-BOI-MILLS,Component,STS-U1,Boiler,Coal Mill 2,0.82,STS-U1-BOILER,Boiler System,STS-U1-BOI-MILLS,Mills,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills > Coal Mill 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-MILL-3,STS-U1-BOI-MILLS,Component,STS-U1,Boiler,Coal Mill 3,0.9,STS-U1-BOILER,Boiler System,STS-U1-BOI-MILLS,Mills,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills > Coal Mill 3,6410112.885392484,204895.08000000002,3.0,25.0,63.96,2136704.3,8195.8,Fuel quality,High impact / High spend
STS-U1-MILL-4,STS-U1-BOI-MILLS,Component,STS-U1,Boiler,Coal Mill 4,0.9,STS-U1-BOILER,Boiler System,STS-U1-BOI-MILLS,Mills,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills > Coal Mill 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-MILL-5,STS-U1-BOI-MILLS,Component,STS-U1,Boiler,Coal Mill 5,0.82,STS-U1-BOILER,Boiler System,STS-U1-BOI-MILLS,Mills,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills > Coal Mill 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-MILL-6,STS-U1-BOI-MILLS,Component,STS-U1,Boiler,Coal Mill 6,0.82,STS-U1-BOILER,Boiler System,STS-U1-BOI-MILLS,Mills,Shakti Thermal Station > Unit 1 (660 MW) > Boiler System > Mills > Coal Mill 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-TB-BRG2,STS-U1-TUR-BRG,Component,STS-U1,Turbine,Turbine Bearing #2,0.9,STS-U1-TURBINE,Turbine System,STS-U1-TUR-BRG,Bearings,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > Bearings > Turbine Bearing #2,406184.50800000003,175496.15,2.0,21.0,54.95,203092.25,8356.96,Turbine-side,Low impact / High spend
STS-U1-TB-CV-HP,STS-U1-TUR-CV,Component,STS-U1,Turbine,HP Control Valves,0.88,STS-U1-TURBINE,Turbine System,STS-U1-TUR-CV,Control Valves,Shakti Thermal Station > Unit 1 (660 MW) > Turbine System > Control Valves > HP Control Valves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CND,STS-U1-COL-CND,Component,STS-U1,Cooling,Surface Condenser,0.9,STS-U1-COOLING,Cooling System,STS-U1-COL-CND,Condenser,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System > Condenser > Surface Condenser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CTF-BANK1,STS-U1-COL-CT,Component,STS-U1,Cooling,Cooling Tower Fans Bank 1,0.86,STS-U1-COOLING,Cooling System,STS-U1-COL-CT,Cooling Tower,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System > Cooling Tower > Cooling Tower Fans Bank 1,2529759.909,76827.14,2.0,7.0,58.18,1264879.95,10975.31,Cooling constraints,High impact / Low spend
STS-U1-CWP-1,STS-U1-COL-CWP,Component,STS-U1,Cooling,CW Pump 1,0.86,STS-U1-COOLING,Cooling System,STS-U1-COL-CWP,CW Pumps,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System > CW Pumps > CW Pump 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CWP-2,STS-U1-COL-CWP,Component,STS-U1,Cooling,CW Pump 2,0.84,STS-U1-COOLING,Cooling System,STS-U1-COL-CWP,CW Pumps,Shakti Thermal Station > Unit 1 (660 MW) > Cooling System > CW Pumps > CW Pump 2,337300.15400000004,162903.47999999998,1.0,17.0,52.18,337300.15,9582.56,Cooling constraints,Low impact / Low spend
STS-U1-XFMR-GSU,STS-U1-ELC-XFMR,Component,STS-U1,Electrical,GSU Transformer,0.82,STS-U1-ELECTRICAL,Electrical System,STS-U1-ELC-XFMR,Transformer,Shakti Thermal Station > Unit 1 (660 MW) > Electrical System > Transformer > GSU Transformer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-SWYD-1,STS-U1-ELC-SWYD,Component,STS-U1,Electrical,Switchyard Bay 1,0.76,STS-U1-ELECTRICAL,Electrical System,STS-U1-ELC-SWYD,Switchyard,Shakti Thermal Station > Unit 1 (660 MW) > Electrical System > Switchyard > Switchyard Bay 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-DCS,STS-U1-CTL-DCS,Component,STS-U1,Controls,Unit DCS Controller,0.78,STS-U1-CONTROLS,Controls System,STS-U1-CTL-DCS,Unit DCS,Shakti Thermal Station > Unit 1 (660 MW) > Controls System > Unit DCS > Unit DCS Controller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FUELASH,STS-U1,System,STS-U1,Fuel & Ash,Fuel & Ash Handling System,0.75,STS-U1-FUELASH,Fuel & Ash Handling System,,,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FEEDWATER,STS-U1,System,STS-U1,Feedwater,Condensate & Feedwater System,0.82,STS-U1-FEEDWATER,Condensate & Feedwater System,,,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-EMISSIONS,STS-U1,System,STS-U1,Emissions,Emissions Control System,0.7,STS-U1-EMISSIONS,Emissions Control System,,,Shakti Thermal Station > Unit 1 (660 MW) > Emissions Control System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-STEAMCYCLE,STS-U1,System,STS-U1,Steam Cycle,Steam Piping & Cycle System,0.78,STS-U1-STEAMCYCLE,Steam Piping & Cycle System,,,Shakti Thermal Station > Unit 1 (660 MW) > Steam Piping & Cycle System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-WATERTREAT,STS-U1,System,STS-U1,Water Treatment,Water & Chemistry Treatment System,0.68,STS-U1-WATERTREAT,Water & Chemistry Treatment System,,,Shakti Thermal Station > Unit 1 (660 MW) > Water & Chemistry Treatment System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-AUX,STS-U1,System,STS-U1,Auxiliaries,Auxiliary Systems,0.65,STS-U1-AUX,Auxiliary Systems,,,Shakti Thermal Station > Unit 1 (660 MW) > Auxiliary Systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FUEL-UNLOAD,STS-U1-FUELASH,Subsystem,STS-U1,Fuel & Ash,Coal Receiving & Unloading,0.55,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-FUEL-UNLOAD,Coal Receiving & Unloading,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Coal Receiving & Unloading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FUEL-CRUSH,STS-U1-FUELASH,Subsystem,STS-U1,Fuel & Ash,Coal Crushers,0.6,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-FUEL-CRUSH,Coal Crushers,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Coal Crushers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FUEL-CONV,STS-U1-FUELASH,Subsystem,STS-U1,Fuel & Ash,Conveyor System,0.58,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-FUEL-CONV,Conveyor System,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Conveyor System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FUEL-BUNKER,STS-U1-FUELASH,Subsystem,STS-U1,Fuel & Ash,Coal Bunkers & Feeders,0.62,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-FUEL-BUNKER,Coal Bunkers & Feeders,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Coal Bunkers & Feeders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-ASH-FLY,STS-U1-FUELASH,Subsystem,STS-U1,Fuel & Ash,Fly Ash Handling,0.57,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-ASH-FLY,Fly Ash Handling,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Fly Ash Handling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-ASH-BOT,STS-U1-FUELASH,Subsystem,STS-U1,Fuel & Ash,Bottom Ash Handling,0.55,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-ASH-BOT,Bottom Ash Handling,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Bottom Ash Handling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CRUSH-1,STS-U1-FUEL-CRUSH,Component,STS-U1,Fuel & Ash,Crusher 1,0.4,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-FUEL-CRUSH,Coal Crushers,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Coal Crushers > Crusher 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CONV-A,STS-U1-FUEL-CONV,Component,STS-U1,Fuel & Ash,Conveyor A,0.38,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-FUEL-CONV,Conveyor System,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Conveyor System > Conveyor A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FEEDER-3,STS-U1-FUEL-BUNKER,Component,STS-U1,Fuel & Ash,Coal Feeder 3,0.45,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-FUEL-BUNKER,Coal Bunkers & Feeders,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Coal Bunkers & Feeders > Coal Feeder 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-ASH-PUMP-1,STS-U1-ASH-FLY,Component,STS-U1,Fuel & Ash,Fly Ash Pump 1,0.35,STS-U1-FUELASH,Fuel & Ash Handling System,STS-U1-ASH-FLY,Fly Ash Handling,Shakti Thermal Station > Unit 1 (660 MW) > Fuel & Ash Handling System > Fly Ash Handling > Fly Ash Pump 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CONDENSATE,STS-U1-FEEDWATER,Subsystem,STS-U1,Feedwater,Condensate System,0.78,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-CONDENSATE,Condensate System,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Condensate System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CEP,STS-U1-CONDENSATE,Subsystem,STS-U1,Feedwater,Condensate Extraction Pumps,0.8,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-CEP,Condensate Extraction Pumps,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Condensate System > Condensate Extraction Pumps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-LP-FWH,STS-U1-FEEDWATER,Subsystem,STS-U1,Feedwater,Low-Pressure Feedwater Heaters,0.72,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-LP-FWH,Low-Pressure Feedwater Heaters,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Low-Pressure Feedwater Heaters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-DEA,STS-U1-FEEDWATER,Subsystem,STS-U1,Feedwater,Deaerator,0.75,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-DEA,Deaerator,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Deaerator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-BFP,STS-U1-FEEDWATER,Subsystem,STS-U1,Feedwater,Boiler Feed Pumps,0.85,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-BFP,Boiler Feed Pumps,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Boiler Feed Pumps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-HP-FWH,STS-U1-FEEDWATER,Subsystem,STS-U1,Feedwater,High-Pressure Feedwater Heaters,0.74,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-HP-FWH,High-Pressure Feedwater Heaters,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > High-Pressure Feedwater Heaters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-FWV,STS-U1-FEEDWATER,Subsystem,STS-U1,Feedwater,Feedwater Control Valves,0.7,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-FWV,Feedwater Control Valves,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Feedwater Control Valves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-CEP-1,STS-U1-CEP,Component,STS-U1,Feedwater,Condensate Pump 1,0.65,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-CEP,Condensate Extraction Pumps,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Condensate System > Condensate Extraction Pumps > Condensate Pump 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-BFP-1,STS-U1-BFP,Component,STS-U1,Feedwater,Boiler Feed Pump 1,0.72,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-BFP,Boiler Feed Pumps,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Boiler Feed Pumps > Boiler Feed Pump 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
STS-U1-DEA-LVL,STS-U1-DEA,Component,STS-U1,Feedwater,Deaerator Level Control,0.55,STS-U1-FEEDWATER,Condensate & Feedwater System,STS-U1-DEA,Deaerator,Shakti Thermal Station > Unit 1 (660 MW) > Condensate & Feedwater System > Deaerator > Deaerator Level Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Low impact / Low spend
