event_id,unit_id,start_time,end_time,type,mw_unavailable,root_cause_category,root_cause_detail,linked_asset_id
EVT-2024-03-CW-CONSTR,STS-U1,2024-03-17T10:00:00Z,2024-03-17T18:30:00Z,Forced,660.0,Cooling constraints,Condenser backpressure high; CW pump cavitation; trip.,STS-U1-CWP-2
EVT-DRAFT-20240408-14,STS-U1,2024-04-08T10:14:00Z,2024-04-08T13:38:00Z,Partial Derate,127.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20240415-15,STS-U1,2024-04-15T09:33:00Z,2024-04-15T13:14:00Z,Partial Derate,83.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20240512-16,STS-U1,2024-05-12T07:26:00Z,2024-05-12T10:28:00Z,Partial Derate,110.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20240531-17,STS-U1,2024-05-31T06:00:00Z,2024-05-31T09:29:00Z,Partial Derate,75.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-2024-06-AUXDRIFT,STS-U1,2024-06-01T00:00:00Z,2024-09-05T00:00:00Z,Partial Derate,60.0,Cooling constraints,CT fan degradation; sustained cap + aux drift.,STS-U1-CTF-BANK1
EVT-DRAFT-20240612-18,STS-U1,2024-06-12T15:32:00Z,2024-06-12T16:33:00Z,Partial Derate,123.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20240701-19,STS-U1,2024-07-01T15:16:00Z,2024-07-01T18:36:00Z,Partial Derate,113.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-2024-07-WETCOAL,STS-U1,2024-07-15T00:00:00Z,2024-09-15T00:00:00Z,Partial Derate,35.0,Fuel quality,Monsoon wet coal + draft sensitivity; conservative cap.,STS-U1-MILL-3
EVT-DRAFT-20240720-20,STS-U1,2024-07-20T10:45:00Z,2024-07-20T13:51:00Z,Partial Derate,82.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20240724-21,STS-U1,2024-07-24T15:11:00Z,2024-07-24T17:51:00Z,Partial Derate,96.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20240830-22,STS-U1,2024-08-30T11:14:00Z,2024-08-30T13:56:00Z,Partial Derate,62.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20240902-23,STS-U1,2024-09-02T06:00:00Z,2024-09-02T07:44:00Z,Partial Derate,69.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-2024-09-PM2,STS-U1,2024-09-05T00:00:00Z,2024-09-06T12:00:00Z,Planned,220.0,Planned Maintenance,Cooling tower fan refurbishment + condenser recovery activities.,STS-U1-CTF-BANK1
EVT-DRAFT-20241106-24,STS-U1,2024-11-06T10:18:00Z,2024-11-06T13:18:00Z,Partial Derate,112.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20241130-25,STS-U1,2024-11-30T10:45:00Z,2024-11-30T14:18:00Z,Partial Derate,105.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
EVT-DRAFT-20241219-26,STS-U1,2024-12-19T05:08:00Z,2024-12-19T08:25:00Z,Partial Derate,105.0,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,STS-U1-IDF-A
