node_id,node_type,canonical_name,description
TAG::TAG-U1-MillCurrent_A,sensor,MillCurrent_A,Representative mill motor current.
TAG::TAG-U1-TurbineVibration_mm_s,sensor,TurbineVibration_mm_s,Turbine bearing #2 vibration.
TAG::TAG-U1-CondenserTemp_C,sensor,CondenserTemp_C,Condenser temperature proxy.
TAG::TAG-U1-AuxLoad_MW,sensor,AuxLoad_MW,Auxiliary load estimate.
TAG::TAG-U1-NetGeneration_MW,sensor,NetGeneration_MW,Net generation (export).
TAG::TAG-U1-CondenserVacuum_kPa,sensor,CondenserVacuum_kPa,Condenser pressure proxy.
EVENT::EVT-2023-02-TB-VIB,event,Forced,Turbine-side: Turbine vibration alarm; BRG2 high overall.
EVENT::EVT-DRAFT-20230303-01,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20230305-02,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20230309-03,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-2023-03-MILLTRIP,event,Forced,Boiler-side: Mill trip (Mill 3); flame instability.
EVENT::EVT-DRAFT-20230403-04,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-2023-05-TUBELEAK,event,Forced,Boiler-side: Boiler tube leak; draft swing; protective trip.
EVENT::EVT-DRAFT-20230513-05,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20230524-06,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-2023-07-WETCOAL,event,Partial Derate,Fuel quality: Monsoon wet-coal reduced stable firing margin; sustained cap.
EVENT::EVT-2023-09-PM1,event,Planned,"Planned Maintenance: Annual shutdown: SH inspection, APH wash, ID fan alignment."
EVENT::EVT-DRAFT-20230927-07,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20231104-08,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20231108-09,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20231123-10,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20231230-11,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240106-12,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240112-13,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-2024-02-TB-VIB,event,Forced,Turbine-side: Turbine vibration alarm; BRG2 high overall.
EVENT::EVT-2024-03-CW-CONSTR,event,Forced,Cooling constraints: Condenser backpressure high; CW pump cavitation; trip.
EVENT::EVT-DRAFT-20240408-14,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240415-15,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240512-16,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240531-17,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-2024-06-AUXDRIFT,event,Partial Derate,Cooling constraints: CT fan degradation; sustained cap + aux drift.
EVENT::EVT-DRAFT-20240612-18,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240701-19,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-2024-07-WETCOAL,event,Partial Derate,Fuel quality: Monsoon wet coal + draft sensitivity; conservative cap.
EVENT::EVT-DRAFT-20240720-20,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240724-21,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240830-22,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20240902-23,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-2024-09-PM2,event,Planned,Planned Maintenance: Cooling tower fan refurbishment + condenser recovery activities.
EVENT::EVT-DRAFT-20241106-24,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20241130-25,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
EVENT::EVT-DRAFT-20241219-26,event,Partial Derate,Boiler-side: Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.
WO::WO-00001,work_order,Mill3 trip,Corrective
WO::WO-00002,work_order,IDF A damper sat,Preventive
WO::WO-00003,work_order,Draft fan #1 oscill,Preventive
WO::WO-00004,work_order,BRG2 VIB,Preventive
WO::WO-00005,work_order,Draft fan #1 oscill,Preventive
WO::WO-00006,work_order,Draft fan #1 oscill,Preventive
WO::WO-00007,work_order,Induced draft fan hunting,Corrective
WO::WO-00008,work_order,Induced draft fan hunting,Corrective
WO::WO-00009,work_order,AIR PREHEATER clog,Corrective
WO::WO-00010,work_order,IDF A damper sat,Corrective
WO::WO-00011,work_order,Induced draft fan hunting,Corrective
WO::WO-00012,work_order,Draft fan #1 oscill,Preventive
WO::WO-00013,work_order,IDF-A spd var,Preventive
WO::WO-00014,work_order,CWP-2 low suction,Corrective
WO::WO-00015,work_order,APH DP high,Corrective
WO::WO-00016,work_order,Draft fan #1 oscill,Corrective
WO::WO-00017,work_order,PF mill three feeder issue,Preventive
WO::WO-00018,work_order,Draft fan #1 oscill,Preventive
WO::WO-00019,work_order,Air preheater fouling,Corrective
WO::WO-00020,work_order,Draft fan #1 oscill,Corrective
WO::WO-00021,work_order,CW pump cavit,Preventive
WO::WO-00022,work_order,Draft fan #1 oscill,Corrective
WO::WO-00023,work_order,Draft fan #1 oscill,Corrective
WO::WO-00024,work_order,Induced draft fan hunting,Corrective
WO::WO-00025,work_order,IDF A damper sat,Corrective
WO::WO-00026,work_order,IDF A damper sat,Corrective
WO::WO-00027,work_order,IDF A damper sat,Preventive
WO::WO-00028,work_order,Condenser pump B noise,Corrective
WO::WO-00029,work_order,Pulverizer-3 current spike,Preventive
WO::WO-00030,work_order,BRG2 VIB,Corrective
WO::WO-00031,work_order,TB brg2 vib hi,Corrective
WO::WO-00032,work_order,Induced draft fan hunting,Corrective
WO::WO-00033,work_order,IDF A damper sat,Corrective
WO::WO-00034,work_order,TB brg2 vib hi,Corrective
WO::WO-00035,work_order,Draft fan #1 oscill,Preventive
WO::WO-00036,work_order,turbine bearing 2 vibration,Corrective
WO::WO-00037,work_order,PF mill three feeder issue,Corrective
WO::WO-00038,work_order,IDF-A spd var,Corrective
WO::WO-00039,work_order,TB brg2 vib hi,Preventive
WO::WO-00040,work_order,Induced draft fan hunting,Preventive
WO::WO-00041,work_order,IDF-A spd var,Preventive
WO::WO-00042,work_order,Induced draft fan hunting,Corrective
WO::WO-00043,work_order,IDF A damper sat,Corrective
WO::WO-00044,work_order,Induced draft fan hunting,Preventive
WO::WO-00045,work_order,Draft fan #1 oscill,Corrective
WO::WO-00046,work_order,Condenser pump B noise,Corrective
WO::WO-00047,work_order,turbine bearing 2 vibration,Corrective
WO::WO-00048,work_order,Draft fan #1 oscill,Corrective
WO::WO-00049,work_order,IDF-A spd var,Corrective
WO::WO-00050,work_order,PF mill three feeder issue,Preventive
WO::WO-00051,work_order,Draft fan #1 oscill,Corrective
WO::WO-00052,work_order,IDF-A spd var,Preventive
WO::WO-00053,work_order,Induced draft fan hunting,Corrective
WO::WO-00054,work_order,IDF A damper sat,Corrective
WO::WO-00055,work_order,IDF-A spd var,Preventive
WO::WO-00056,work_order,Induced draft fan hunting,Corrective
WO::WO-00057,work_order,IDF-A spd var,Preventive
WO::WO-00058,work_order,CW pump cavit,Preventive
WO::WO-00059,work_order,Air preheater fouling,Corrective
WO::WO-00060,work_order,Draft fan #1 oscill,Corrective
WO::WO-00061,work_order,CW pump cavit,Corrective
WO::WO-00062,work_order,Induced draft fan hunting,Preventive
WO::WO-00063,work_order,Induced draft fan hunting,Corrective
WO::WO-00064,work_order,APH DP high,Corrective
WO::WO-00065,work_order,Mill3 trip,Preventive
WO::WO-00066,work_order,IDF A damper sat,Corrective
WO::WO-00067,work_order,Induced draft fan hunting,Preventive
WO::WO-00068,work_order,IDF A damper sat,Corrective
WO::WO-00069,work_order,Draft fan #1 oscill,Preventive
WO::WO-00070,work_order,Induced draft fan hunting,Preventive
WO::WO-00071,work_order,AIR PREHEATER clog,Corrective
WO::WO-00072,work_order,turbine bearing 2 vibration,Corrective
WO::WO-00073,work_order,Draft fan #1 oscill,Preventive
WO::WO-00074,work_order,Mill3 trip,Preventive
WO::WO-00075,work_order,Condenser pump B noise,Corrective
WO::WO-00076,work_order,IDF-A spd var,Corrective
WO::WO-00077,work_order,APH DP high,Preventive
WO::WO-00078,work_order,IDF-A spd var,Corrective
WO::WO-00079,work_order,PF mill three feeder issue,Corrective
WO::WO-00080,work_order,IDF-A spd var,Corrective
WO::WO-00081,work_order,Pulverizer-3 current spike,Corrective
WO::WO-00082,work_order,Pulverizer-3 current spike,Preventive
WO::WO-00083,work_order,Draft fan #1 oscill,Corrective
WO::WO-00084,work_order,IDF-A spd var,Preventive
WO::WO-00085,work_order,Draft fan #1 oscill,Preventive
WO::WO-00086,work_order,Induced draft fan hunting,Preventive
WO::WO-00087,work_order,Condenser pump B noise,Preventive
WO::WO-00088,work_order,IDF A damper sat,Corrective
WO::WO-00089,work_order,IDF A damper sat,Corrective
WO::WO-00090,work_order,IDF A damper sat,Corrective
WO::WO-00091,work_order,APH DP high,Corrective
WO::WO-00092,work_order,IDF-A spd var,Corrective
WO::WO-00093,work_order,Draft fan #1 oscill,Corrective
WO::WO-00094,work_order,IDF A damper sat,Preventive
WO::WO-00095,work_order,IDF A damper sat,Corrective
WO::WO-00096,work_order,Pulverizer-3 current spike,Corrective
WO::WO-00097,work_order,Mill3 trip,Corrective
WO::WO-00098,work_order,IDF-A spd var,Corrective
WO::WO-00099,work_order,IDF A damper sat,Preventive
WO::WO-00100,work_order,Draft fan #1 oscill,Corrective
WO::WO-00101,work_order,PF mill three feeder issue,Corrective
WO::WO-00102,work_order,turbine bearing 2 vibration,Preventive
WO::WO-00103,work_order,IDF-A spd var,Preventive
WO::WO-00104,work_order,IDF-A spd var,Corrective
WO::WO-00105,work_order,Draft fan #1 oscill,Corrective
WO::WO-00106,work_order,IDF A damper sat,Preventive
WO::WO-00107,work_order,Pulverizer-3 current spike,Corrective
WO::WO-00108,work_order,BRG2 VIB,Preventive
WO::WO-00109,work_order,turbine bearing 2 vibration,Corrective
WO::WO-00110,work_order,AIR PREHEATER clog,Corrective
WO::WO-00111,work_order,IDF A damper sat,Preventive
WO::WO-00112,work_order,Air preheater fouling,Corrective
WO::WO-00113,work_order,Draft fan #1 oscill,Preventive
WO::WO-00114,work_order,Mill3 trip,Corrective
WO::WO-00115,work_order,IDF A damper sat,Preventive
WO::WO-00116,work_order,Induced draft fan hunting,Preventive
WO::WO-00117,work_order,IDF A damper sat,Preventive
WO::WO-00118,work_order,APH DP high,Corrective
WO::WO-00119,work_order,Draft fan #1 oscill,Corrective
WO::WO-00120,work_order,Draft fan #1 oscill,Preventive
WO::WO-00121,work_order,Air preheater fouling,Preventive
WO::WO-00122,work_order,Draft fan #1 oscill,Corrective
WO::WO-00123,work_order,Pulverizer-3 current spike,Corrective
WO::WO-00124,work_order,Pulverizer-3 current spike,Corrective
WO::WO-00125,work_order,IDF-A spd var,Corrective
WO::WO-00126,work_order,IDF A damper sat,Preventive
WO::WO-00127,work_order,Induced draft fan hunting,Preventive
WO::WO-00128,work_order,PF mill three feeder issue,Corrective
WO::WO-00129,work_order,IDF-A spd var,Corrective
WO::WO-00130,work_order,IDF A damper sat,Corrective
WO::WO-00131,work_order,Draft fan #1 oscill,Corrective
WO::WO-00132,work_order,Pulverizer-3 current spike,Preventive
WO::WO-00133,work_order,Induced draft fan hunting,Preventive
WO::WO-00134,work_order,IDF A damper sat,Preventive
WO::WO-00135,work_order,IDF A damper sat,Preventive
WO::WO-00136,work_order,IDF-A spd var,Preventive
WO::WO-00137,work_order,Draft fan #1 oscill,Corrective
WO::WO-00138,work_order,CW pump cavit,Corrective
WO::WO-00139,work_order,Draft fan #1 oscill,Corrective
WO::WO-00140,work_order,Draft fan #1 oscill,Preventive
WO::WO-00141,work_order,IDF-A spd var,Preventive
WO::WO-00142,work_order,Induced draft fan hunting,Preventive
WO::WO-00143,work_order,turbine bearing 2 vibration,Preventive
WO::WO-00144,work_order,IDF-A spd var,Preventive
WO::WO-00145,work_order,Draft fan #1 oscill,Corrective
WO::WO-00146,work_order,Draft fan #1 oscill,Corrective
WO::WO-00147,work_order,Induced draft fan hunting,Corrective
WO::WO-00148,work_order,Induced draft fan hunting,Corrective
WO::WO-00149,work_order,IDF A damper sat,Corrective
WO::WO-00150,work_order,IDF A damper sat,Corrective
WO::WO-00151,work_order,CW pump cavit,Corrective
WO::WO-00152,work_order,BRG2 VIB,Corrective
WO::WO-00153,work_order,CW pump cavit,Corrective
WO::WO-00154,work_order,IDF A damper sat,Corrective
WO::WO-00155,work_order,Induced draft fan hunting,Corrective
WO::WO-00156,work_order,Induced draft fan hunting,Preventive
WO::WO-00157,work_order,Induced draft fan hunting,Preventive
WO::WO-00158,work_order,IDF A damper sat,Preventive
WO::WO-00159,work_order,IDF A damper sat,Corrective
WO::WO-00160,work_order,IDF A damper sat,Preventive
WO::WO-00161,work_order,Draft fan #1 oscill,Preventive
WO::WO-00162,work_order,Draft fan #1 oscill,Preventive
WO::WO-00163,work_order,Mill3 trip,Preventive
WO::WO-00164,work_order,IDF-A spd var,Corrective
WO::WO-00165,work_order,CW pump cavit,Corrective
WO::WO-00166,work_order,IDF A damper sat,Corrective
WO::WO-00167,work_order,Induced draft fan hunting,Preventive
WO::WO-00168,work_order,IDF A damper sat,Corrective
WO::WO-00169,work_order,AIR PREHEATER clog,Corrective
WO::WO-00170,work_order,TB brg2 vib hi,Corrective
WO::WO-00171,work_order,APH DP high,Preventive
WO::WO-00172,work_order,Pulverizer-3 current spike,Corrective
WO::WO-00173,work_order,BRG2 VIB,Corrective
WO::WO-00174,work_order,TB brg2 vib hi,Corrective
WO::WO-00175,work_order,Induced draft fan hunting,Preventive
WO::WO-00176,work_order,Draft fan #1 oscill,Corrective
WO::WO-00177,work_order,Mill3 trip,Corrective
WO::WO-00178,work_order,IDF-A spd var,Corrective
WO::WO-00179,work_order,CWP-2 low suction,Preventive
WO::WO-00180,work_order,Draft fan #1 oscill,Preventive
WO::WO-00181,work_order,IDF-A spd var,Corrective
WO::WO-00182,work_order,PF mill three feeder issue,Corrective
WO::WO-00183,work_order,IDF-A spd var,Corrective
WO::WO-00184,work_order,Induced draft fan hunting,Corrective
WO::WO-00185,work_order,Induced draft fan hunting,Preventive
WO::WO-00186,work_order,Air preheater fouling,Corrective
WO::WO-00187,work_order,IDF-A spd var,Preventive
WO::WO-00188,work_order,BRG2 VIB,Preventive
WO::WO-00189,work_order,IDF-A spd var,Preventive
WO::WO-00190,work_order,IDF-A spd var,Corrective
WO::WO-00191,work_order,IDF A damper sat,Preventive
WO::WO-00192,work_order,APH DP high,Corrective
WO::WO-00193,work_order,Draft fan #1 oscill,Preventive
WO::WO-00194,work_order,PF mill three feeder issue,Corrective
WO::WO-00195,work_order,CWP-2 low suction,Corrective
WO::WO-00196,work_order,Draft fan #1 oscill,Corrective
WO::WO-00197,work_order,Condenser pump B noise,Corrective
WO::WO-00198,work_order,IDF A damper sat,Corrective
WO::WO-00199,work_order,Induced draft fan hunting,Corrective
WO::WO-00200,work_order,APH DP high,Preventive
WO::WO-00201,work_order,IDF A damper sat,Corrective
WO::WO-00202,work_order,TB brg2 vib hi,Corrective
WO::WO-00203,work_order,Draft fan #1 oscill,Preventive
WO::WO-00204,work_order,Draft fan #1 oscill,Corrective
WO::WO-00205,work_order,turbine bearing 2 vibration,Corrective
WO::WO-00206,work_order,Condenser pump B noise,Corrective
WO::WO-00207,work_order,IDF-A spd var,Preventive
WO::WO-00208,work_order,IDF A damper sat,Corrective
WO::WO-00209,work_order,IDF-A spd var,Corrective
WO::WO-00210,work_order,Induced draft fan hunting,Corrective
WO::WO-00211,work_order,turbine bearing 2 vibration,Preventive
WO::WO-00212,work_order,Induced draft fan hunting,Corrective
WO::WO-00213,work_order,IDF-A spd var,Corrective
WO::WO-00214,work_order,IDF-A spd var,Preventive
WO::WO-00215,work_order,Condenser pump B noise,Preventive
WO::WO-00216,work_order,Pulverizer-3 current spike,Preventive
WO::WO-00217,work_order,IDF A damper sat,Preventive
WO::WO-00218,work_order,APH DP high,Corrective
WO::WO-00219,work_order,Induced draft fan hunting,Corrective
WO::WO-00220,work_order,TB brg2 vib hi,Corrective
LOG::LOG-00001,shift_log,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00002,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00003,shift_log,Shift Supervisor,BRG2 vibration trending high; kept ramp conservative; requested spectrum.
LOG::LOG-00004,shift_log,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00005,shift_log,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00006,shift_log,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00007,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00008,shift_log,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.
LOG::LOG-00009,shift_log,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.
LOG::LOG-00010,shift_log,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00011,shift_log,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00012,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00013,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00014,shift_log,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00015,shift_log,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00016,shift_log,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00017,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00018,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00019,shift_log,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.
LOG::LOG-00020,shift_log,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00021,shift_log,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00022,shift_log,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00023,shift_log,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.
LOG::LOG-00024,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00025,shift_log,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00026,shift_log,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00027,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00028,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00029,shift_log,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00030,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00031,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00032,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00033,shift_log,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00034,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00035,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00036,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00037,shift_log,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00038,shift_log,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.
LOG::LOG-00039,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00040,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00041,shift_log,Control Room Operator,Cooling constraint suspected; CW pump noise noted; held load.
LOG::LOG-00042,shift_log,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00043,shift_log,Shift Supervisor,BRG2 crossed alert briefly; checked lube oil; stabilized.
LOG::LOG-00044,shift_log,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00045,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00046,shift_log,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00047,shift_log,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00048,shift_log,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00049,shift_log,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.
LOG::LOG-00050,shift_log,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.
LOG::LOG-00051,shift_log,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.
LOG::LOG-00052,shift_log,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.
LOG::LOG-00053,shift_log,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.
