log_id,shift_start,shift_end,operator_role,free_text,linked_event_id,standard_asset_id_truth
LOG-00030,2024-09-11T12:00:00Z,2024-09-12T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00031,2023-07-31T00:00:00Z,2023-07-31T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230303-01,STS-U1-IDF-A
LOG-00032,2024-03-07T12:00:00Z,2024-03-08T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230513-05,STS-U1-IDF-A
LOG-00033,2024-02-17T00:00:00Z,2024-02-17T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20231123-10,STS-U1-IDF-A
LOG-00034,2023-06-30T00:00:00Z,2023-06-30T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00035,2023-01-24T12:00:00Z,2023-01-25T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00036,2024-03-27T00:00:00Z,2024-03-27T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00037,2024-09-01T00:00:00Z,2024-09-01T12:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00038,2024-05-23T00:00:00Z,2024-05-23T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230403-04,STS-U1-IDF-A
LOG-00039,2024-11-15T12:00:00Z,2024-11-16T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,,STS-U1-BOI-FURNACE
LOG-00040,2024-03-25T00:00:00Z,2024-03-25T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230513-05,STS-U1-IDF-A
LOG-00041,2024-09-15T00:00:00Z,2024-09-15T12:00:00Z,Control Room Operator,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00042,2024-12-12T12:00:00Z,2024-12-13T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230524-06,STS-U1-IDF-A
LOG-00043,2024-10-19T12:00:00Z,2024-10-20T00:00:00Z,Shift Supervisor,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00044,2024-01-04T12:00:00Z,2024-01-05T00:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00045,2024-12-16T12:00:00Z,2024-12-17T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240415-15,STS-U1-IDF-A
LOG-00046,2024-11-01T12:00:00Z,2024-11-02T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2023-07-WETCOAL,STS-U1-MILL-3
LOG-00047,2023-12-09T12:00:00Z,2023-12-10T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00048,2023-02-07T00:00:00Z,2023-02-07T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230303-01,STS-U1-IDF-A
LOG-00049,2023-01-30T00:00:00Z,2023-01-30T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00050,2024-12-23T00:00:00Z,2024-12-23T12:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00051,2024-02-18T12:00:00Z,2024-02-19T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20241130-25,STS-U1-IDF-A
LOG-00052,2024-03-28T12:00:00Z,2024-03-29T00:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00053,2024-12-31T12:00:00Z,2025-01-01T00:00:00Z,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00054,2024-06-09T12:00:00Z,2024-06-10T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20241130-25,STS-U1-IDF-A
LOG-00055,2023-08-28T12:00:00Z,2023-08-29T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00056,2024-08-20T12:00:00Z,2024-08-21T00:00:00Z,Control Room Operator,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00057,2024-03-13T12:00:00Z,2024-03-14T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00058,2024-03-16T12:00:00Z,2024-03-17T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240512-16,STS-U1-IDF-A
LOG-00059,2023-09-25T12:00:00Z,2023-09-26T00:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00060,2023-10-03T00:00:00Z,2023-10-03T12:00:00Z,Control Room Operator,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00061,2024-11-07T00:00:00Z,2024-11-07T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230305-02,STS-U1-IDF-A
LOG-00062,2023-02-17T00:00:00Z,2023-02-17T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00063,2024-12-24T00:00:00Z,2024-12-24T12:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00064,2023-03-28T12:00:00Z,2023-03-29T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230513-05,STS-U1-IDF-A
LOG-00065,2024-11-27T12:00:00Z,2024-11-28T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240830-22,STS-U1-IDF-A
LOG-00066,2024-04-19T00:00:00Z,2024-04-19T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-IDF-A
LOG-00067,2023-09-17T12:00:00Z,2023-09-18T00:00:00Z,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2023-07-WETCOAL,STS-U1-MILL-3
LOG-00068,2024-03-30T12:00:00Z,2024-03-31T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-IDF-A
LOG-00069,2024-03-17T00:00:00Z,2024-03-17T12:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00070,2024-09-08T00:00:00Z,2024-09-08T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230513-05,STS-U1-IDF-A
LOG-00071,2024-10-22T00:00:00Z,2024-10-22T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231104-08,STS-U1-IDF-A
LOG-00072,2023-03-07T12:00:00Z,2023-03-08T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00073,2024-05-06T12:00:00Z,2024-05-07T00:00:00Z,Shift Supervisor,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00074,2023-03-10T00:00:00Z,2023-03-10T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240612-18,STS-U1-IDF-A
LOG-00075,2024-05-05T12:00:00Z,2024-05-06T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240112-13,STS-U1-IDF-A
LOG-00076,2023-05-13T00:00:00Z,2023-05-13T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00077,2023-01-19T12:00:00Z,2023-01-20T00:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00078,2024-10-13T12:00:00Z,2024-10-14T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00079,2024-05-03T12:00:00Z,2024-05-04T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230303-01,STS-U1-IDF-A
LOG-00080,2023-07-29T12:00:00Z,2023-07-30T00:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00081,2024-09-06T12:00:00Z,2024-09-07T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240531-17,STS-U1-IDF-A
LOG-00082,2024-06-26T12:00:00Z,2024-06-27T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240701-19,STS-U1-IDF-A
LOG-00083,2023-11-22T12:00:00Z,2023-11-23T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240112-13,STS-U1-IDF-A
LOG-00084,2024-06-22T00:00:00Z,2024-06-22T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00085,2023-12-27T12:00:00Z,2023-12-28T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230524-06,STS-U1-IDF-A
LOG-00086,2024-01-31T12:00:00Z,2024-02-01T00:00:00Z,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00087,2024-02-29T12:00:00Z,2024-03-01T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2023-05-TUBELEAK,STS-U1-SH-OUT
LOG-00088,2023-06-13T00:00:00Z,2023-06-13T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00089,2024-03-18T00:00:00Z,2024-03-18T12:00:00Z,Control Room Operator,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00090,2023-10-02T00:00:00Z,2023-10-02T12:00:00Z,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.,EVT-2024-02-TB-VIB,STS-U1-TB-BRG2
LOG-00091,2023-06-22T12:00:00Z,2023-06-23T00:00:00Z,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00092,2023-05-07T00:00:00Z,2023-05-07T12:00:00Z,Shift Supervisor,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00093,2023-06-11T12:00:00Z,2023-06-12T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2024-03-CW-CONSTR,STS-U1-CWP-2
LOG-00094,2024-04-04T00:00:00Z,2024-04-04T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230303-01,STS-U1-IDF-A
LOG-00095,2024-08-31T12:00:00Z,2024-09-01T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20231123-10,STS-U1-IDF-A
LOG-00096,2024-07-03T12:00:00Z,2024-07-04T00:00:00Z,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00097,2023-02-11T12:00:00Z,2023-02-12T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240112-13,STS-U1-IDF-A
LOG-00098,2023-10-08T00:00:00Z,2023-10-08T12:00:00Z,Control Room Operator,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00099,2023-10-05T12:00:00Z,2023-10-06T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00100,2023-07-02T12:00:00Z,2023-07-03T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240106-12,STS-U1-IDF-A
LOG-00101,2024-07-17T12:00:00Z,2024-07-18T00:00:00Z,Shift Supervisor,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00102,2024-07-05T12:00:00Z,2024-07-06T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-IDF-A
LOG-00103,2023-12-08T12:00:00Z,2023-12-09T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00104,2024-11-21T12:00:00Z,2024-11-22T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-IDF-A
LOG-00105,2024-03-02T12:00:00Z,2024-03-03T00:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00106,2023-01-06T00:00:00Z,2023-01-06T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00107,2023-11-22T12:00:00Z,2023-11-23T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,,STS-U1-BOI-FURNACE
LOG-00108,2023-06-29T12:00:00Z,2023-06-30T00:00:00Z,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.,EVT-2023-02-TB-VIB,STS-U1-TB-BRG2
LOG-00109,2023-10-29T00:00:00Z,2023-10-29T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-IDF-A
LOG-00110,2023-02-22T12:00:00Z,2023-02-23T00:00:00Z,Shift Supervisor,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00111,2024-12-29T00:00:00Z,2024-12-29T12:00:00Z,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2023-05-TUBELEAK,STS-U1-SH-OUT
LOG-00112,2024-03-27T12:00:00Z,2024-03-28T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00113,2024-09-18T12:00:00Z,2024-09-19T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-BOI-FURNACE
LOG-00114,2024-07-16T00:00:00Z,2024-07-16T12:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,,STS-U1-IDF-A
LOG-00115,2023-08-09T12:00:00Z,2023-08-10T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-IDF-A
LOG-00116,2024-05-15T12:00:00Z,2024-05-16T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230403-04,STS-U1-IDF-A
LOG-00117,2024-09-13T12:00:00Z,2024-09-14T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00118,2023-01-26T12:00:00Z,2023-01-27T00:00:00Z,Shift Supervisor,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00119,2023-02-20T12:00:00Z,2023-02-21T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20231123-10,STS-U1-IDF-A
LOG-00120,2023-09-04T00:00:00Z,2023-09-04T12:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00121,2023-08-08T12:00:00Z,2023-08-09T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2024-06-AUXDRIFT,STS-U1-CTF-BANK1
LOG-00122,2024-02-18T00:00:00Z,2024-02-18T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230309-03,STS-U1-IDF-A
LOG-00123,2024-06-16T00:00:00Z,2024-06-16T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230305-02,STS-U1-IDF-A
LOG-00124,2023-09-14T00:00:00Z,2023-09-14T12:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00125,2024-05-14T00:00:00Z,2024-05-14T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240415-15,STS-U1-IDF-A
LOG-00126,2024-09-24T00:00:00Z,2024-09-24T12:00:00Z,Control Room Operator,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00127,2024-11-18T12:00:00Z,2024-11-19T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00128,2024-02-06T00:00:00Z,2024-02-06T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20231123-10,STS-U1-IDF-A
LOG-00129,2024-03-09T12:00:00Z,2024-03-10T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00130,2024-01-12T12:00:00Z,2024-01-13T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00131,2024-09-02T12:00:00Z,2024-09-03T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,,STS-U1-BOI-FURNACE
LOG-00132,2023-11-21T00:00:00Z,2023-11-21T12:00:00Z,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00133,2024-07-04T00:00:00Z,2024-07-04T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20241219-26,STS-U1-IDF-A
LOG-00134,2023-05-04T12:00:00Z,2023-05-05T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2023-05-TUBELEAK,STS-U1-SH-OUT
LOG-00135,2024-04-29T12:00:00Z,2024-04-30T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240612-18,STS-U1-IDF-A
LOG-00136,2023-02-19T00:00:00Z,2023-02-19T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20241130-25,STS-U1-IDF-A
LOG-00137,2023-03-30T12:00:00Z,2023-03-31T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00138,2023-12-24T12:00:00Z,2023-12-25T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240531-17,STS-U1-IDF-A
LOG-00139,2023-05-30T12:00:00Z,2023-05-31T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2024-07-WETCOAL,STS-U1-MILL-3
LOG-00140,2024-01-04T00:00:00Z,2024-01-04T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20231108-09,STS-U1-IDF-A
LOG-00141,2023-11-26T12:00:00Z,2023-11-27T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00142,2024-09-07T00:00:00Z,2024-09-07T12:00:00Z,Shift Supervisor,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00143,2023-10-29T12:00:00Z,2023-10-30T00:00:00Z,Shift Supervisor,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00144,2024-08-05T00:00:00Z,2024-08-05T12:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00145,2023-03-14T00:00:00Z,2023-03-14T12:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2024-09-PM2,STS-U1-CTF-BANK1
LOG-00146,2023-05-27T00:00:00Z,2023-05-27T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230303-01,STS-U1-IDF-A
LOG-00147,2023-09-03T12:00:00Z,2023-09-04T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-BOI-FURNACE
LOG-00148,2023-10-05T00:00:00Z,2023-10-05T12:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,,STS-U1-IDF-A
